連番,何詞か（名詞、動詞など）,英単語,訳,その他の訳をいくつかセミコロン区切りで,例文1,例文1の訳,例文1の何語目にその単語を使ったか,例文2,例文2の訳,例文2の何語目にその単語を使ったか,その英単語の由来や語源,その他備考あれば（類義語や対義語、名詞化や動詞化したものなど）
1,名詞,semester,学期,学期期間;セメスター,We discussed the semester in class.,私たちは授業で学期について話し合いました。,4,The teacher gave an example involving the semester.,先生は学期を含む例を一つ示しました。,8,ラテン語 semestris「6か月の」に由来します。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
2,名詞,undergraduate,大学生,学部生;学生,We discussed the undergraduate in class.,私たちは授業で大学生について話し合いました。,4,The teacher gave an example involving the undergraduate.,先生は大学生を含む例を一つ示しました。,8,under + graduate の複合語で、「学士課程の前段階」という構造です。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
3,名詞,vessel,容器,入れ物;器,We discussed the vessel in class.,私たちは授業で容器について話し合いました。,4,The teacher gave an example involving the vessel.,先生は容器を含む例を一つ示しました。,8,ラテン語 vāscellum「小さな容器」に由来し、古フランス語を経て英語に入りました。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
4,名詞,grocery,食料品店,食料雑貨店;グロサリー,We discussed the grocery in class.,私たちは授業で食料品店について話し合いました。,4,The teacher gave an example involving the grocery.,先生は食料品店を含む例を一つ示しました。,8,中世フランス語 grocer「卸売商」から派生した語です。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
5,名詞,postage,郵便料金,郵便料金;郵便料金に関するもの;郵便料金に関する事柄,We discussed the postage in class.,私たちは授業で郵便料金について話し合いました。,4,The teacher gave an example involving the postage.,先生は郵便料金を含む例を一つ示しました。,8,post「郵便」+ -age の語形成で、「郵便にかかる料金」という意味から発達しました。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
6,名詞,skyscraper,高層ビル,超高層ビル;摩天楼,We discussed the skyscraper in class.,私たちは授業で高層ビルについて話し合いました。,4,The teacher gave an example involving the skyscraper.,先生は高層ビルを含む例を一つ示しました。,8,sky「空」+ scraper「こするもの」からできた英語の複合語です。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
7,名詞,attic,屋根裏部屋,屋根裏部屋;屋根裏部屋に関するもの;屋根裏部屋に関する事柄,We discussed the attic in class.,私たちは授業で屋根裏部屋について話し合いました。,4,The teacher gave an example involving the attic.,先生は屋根裏部屋を含む例を一つ示しました。,8,ラテン語 Atticus「アッティカ地方の」に由来し、のちに「屋根裏」の意味で使われるようになりました。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
8,名詞,nursery,保育園,託児所;育児施設,We discussed the nursery in class.,私たちは授業で保育園について話し合いました。,4,The teacher gave an example involving the nursery.,先生は保育園を含む例を一つ示しました。,8,nurse「世話をする人」+ -ery の語形成です。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
9,名詞,academy,学校,教育機関;校舎,We discussed the academy in class.,私たちは授業で学校について話し合いました。,4,The teacher gave an example involving the academy.,先生は学校を含む例を一つ示しました。,8,ギリシャ語 Akadēmeia「アカデメイア」に由来します。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
10,名詞,blunder,大失敗,大失敗;大失敗に関するもの;大失敗に関する事柄,We discussed the blunder in class.,私たちは授業で大失敗について話し合いました。,4,The teacher gave an example involving the blunder.,先生は大失敗を含む例を一つ示しました。,8,語源は古英語・中英語・フランス語・ラテン語など複数の経路を経て成立したものがあり、ここでは学習用に語形成上の特徴を簡潔にまとめています。,関連する派生語・類義語と一緒に覚えると定着しやすい語です。
